GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Streaming XLSX Writer,uk.co.spudsoft.xlsx,TableDefinition,0,40,0,2,0,13,0,2,0,1
Streaming XLSX Writer,uk.co.spudsoft.xlsx,XlsxWriter,0,1471,1,83,0,346,1,59,0,18
Streaming XLSX Writer,uk.co.spudsoft.xlsx,ColumnDefinition,0,34,0,8,0,9,0,5,0,1
Streaming XLSX Writer,uk.co.spudsoft.xlsx,ColourDefinition,0,38,0,6,0,12,0,6,0,3
Streaming XLSX Writer,uk.co.spudsoft.xlsx,FontDefinition,0,27,0,6,0,8,0,4,0,1
